11264,0.6693,0.6693,0.0000,0.7156,0.7156,0.0000,14.2871,14.2871,0.0000,23.5710,21.8674,127.0000,,11264,2.569,,2.568,,5.964,,15.09,
16438,0.6693,0.6693,0.0000,0.7156,0.7156,0.0000,14.2871,14.2871,0.0000,23.9961,21.8765,158.0000,,16438,2.568,,2.572,,5.971,,15.02,
75645,0.6693,0.6693,0.0000,0.7156,0.7156,0.0000,14.2871,14.2871,0.0000,23.9647,21.8452,158.0000,,75645,2.577,,2.575,,5.928,,15.0,
79856,0.6693,0.6693,0.0000,0.7156,0.7156,0.0000,14.2871,14.2871,0.0000,23.2943,21.8053,111.0000,,79856,2.582,,2.572,,5.942,,15.07,
96867,0.6693,0.6693,0.0000,0.7156,0.7156,0.0000,14.2871,14.2871,0.0000,24.0775,21.9043,162.0000,,96867,2.57,,2.563,,5.978,,15.15,
